hotel_name,location,country,description,amenities,rating,contact,website_url,source_url,latitude,longitude
Dreamplace Bed and Breakfast,Nairobi,Kenya,"Dreamplace Bed and Breakfast is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6257561357,-1.2331966,36.8047306
Trademark Hotel,Nairobi,Kenya,"Trademark Hotel is an accommodation option in Nairobi, Kenya.","air_conditioning, internet_access, wheelchair",Not listed,,,https://www.openstreetmap.org/node/6257561358,-1.2305686,36.8044251
Village Villa,Nairobi,Kenya,"Village Villa is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6257561359,-1.2300358,36.8052134
"Tribe Hotel, Village Market",Nairobi,Kenya,"Tribe Hotel, Village Market is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6257561365,-1.2272666,36.8057843
Nairobi Airport Resthouse,Nairobi,Kenya,"Nairobi Airport Resthouse is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6259798913,-1.3127657,36.8972231
Javilla Eagles Safari Guest House,Nairobi,Kenya,"Javilla Eagles Safari Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6259798915,-1.3111122,36.8957072
La Palms Hotel,Nairobi,Kenya,"La Palms Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6259798916,-1.3134191,36.8944002
Regional Hotel Nrb,Nairobi,Kenya,"Regional Hotel Nrb is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6259798924,-1.3205466,36.8993604
The Pebble Hotel,Nairobi,Kenya,"The Pebble Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6259798928,-1.3195688,36.8967146
Rusam Villa Guest House - Official,Nairobi,Kenya,"Rusam Villa Guest House - Official is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6259860366,-1.297127,36.8884601
Benrose,Nairobi,Kenya,"Benrose is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6259924665,-1.2753476,36.8935306
Elgon Place,Nairobi,Kenya,"Elgon Place is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6330660384,-1.3013609,36.8194484
New Blue and White,Nairobi,Kenya,USIU Student Hostels,Not listed,Not listed,,,https://www.openstreetmap.org/node/6496501683,-1.2185586,36.8807975
